Guerlain;S;Samsara;100;23,52
J.Sander;S;Sensations;75;29,12
Giorgio Armani;S;Sensi;50;32,48
Giorgio Armani;S;Sensi White Notes;75;32,48
Escada;V;Sentiment;100;28
Ghost;S;Serenity;100;31,36
Ghost;S;Sheer Summer;50;26,88
Marina de Bourbon;S;Shozan Black;30;14,56
Dolce & Gabbana;S;Sicily;50;31,36
Dolce&Gabbana;S;Sicily;100;31,36
Sonia Rykiel;S;Sonia Rykiel (oranžā);100;21,28
J.Sander;S;Sport;50;32,48
Jil Sander;V;Sport;50;32,48
Sergio Taccini;V;Stile;100;16,8
Jennifer Lopez;S;Still;100;32,48
Lacoste;V;Style In Play;125;32,48
Ferragamo;S;Subtil;50;20,16
Kenzo parfums;S;Summer by Kenzo new;75;35,84
Jil Sander;V;Sun Men;125;28
Naomi Campbell ;S;Sunset;50;19,04
Burberry Parfums;S;Tender Touch;100;22,4
Ghost;S;The Fragrance;50;25,76
Ghost;S;The Fragrance;100;29,12
Versace;S;Time for the Body;125;20,16
Versace;S;Time for the Body;40;10,64
Burberry Parfums;V;Touch;50;21,28
Lacoste;S;Touch of Pink;50;29,12
Lacoste;S;Touch of Pink;90;32,48
Lancome;S;Tresor;50;31,36
Trussardi;S;Trussardi Jeans;50;20,16
Trussardi;V;Trussardi Jeans;100;33,6
Trussardi;S;Trussardi Skin;50;22,4
Trussardi;S;Trussardi Skin;75;26,88
Calvin Klein;S;Truth;50;25,76
Calvin Klein;S;Truth;100;34,72
Calvin Klein;V;Truth;100;29,12
Calvin Klein;S;Truth Lush new;100;30,24
Paco Rabanne;S;Ultraviolet;50;25,76
Paco Rabanne;S;Ultraviolet;80;32,48
Paco Rabanne;S;Ultraviolet Fluoressence;80;34,72
Paco Rabanne;V;Ultraviolet Man;100;29,12
Paco Rabanne;V;Ultraviolet Man;50;23,52
Paco Rabanne;V;Ultraviolet Man Metal;100;29,12
Ungaro;V;Ungaro III;100;28
Moschino;V;Uomo;125;23,52
Versace ;V;V/S;100;32,48
Valentino;S;Valentini Gold;50;22,4
Valentino;S;Valentino V;90;35,84
Valentino;S;Valentino V;50;33,6
Versace ;V;Versace Man;50;26,88
Versace ;V;Versace Man;100;32,48
Versace;S;Versace Woman;100;33,6
Versace;S;Versace Woman;50;28
Givenchy;S;Very Irresistible;75;32,48
Givenchy;S;Very Irresistible;50;31,36
Mexx;S;Waterlove;50;21,28
Mexx;V;Waterlove;50;21,28
Burberry;S;Week end;100;31,36
Givenchy;V;Xerius Rouge;100;25,76
Paco Rabanne;V;XS;100;28
Paco Rabanne;V;XS Extreme;100;25,76
Jacques Faith;S;Yin;75;22,4
Yohji Yamamoto;S;Yohji Yamamoto;75;28
Yohji Yamamoto;V;Yohji Yamamoto;100;26,88
Yves Saint Laurent;V;YSL M-7;100;31,36
